,Food name,Measure,Weight,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
11,Spinach dip,30mL,30.0,74.0,309.0,1.0,2.0,0.0,7.0,1.6,1.9,3.3,6.0,26.0,0.3,84.0,57.0,8.0,17.0,75.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Gravy, beef, canned",60mL,59.0,31.0,131.0,2.0,3.0,0.0,1.0,0.7,0.6,0.0,2.0,4.0,0.4,331.0,48.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Gravy, beef, dehydrated, prepared with water",60mL,65.0,20.0,85.0,1.0,3.0,0.0,1.0,0.2,0.2,0.0,0.0,9.0,0.1,271.0,15.0,2.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Gravy, chicken, canned",60mL,60.0,48.0,199.0,1.0,3.0,0.0,3.0,0.9,1.5,0.9,1.0,12.0,0.3,348.0,66.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Gravy, chicken, dehydrated, prepared with water",60mL,66.0,22.0,93.0,1.0,4.0,0.0,1.0,0.2,0.3,0.1,1.0,10.0,0.1,244.0,24.0,3.0,15.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Gravy, turkey, canned",60mL,61.0,31.0,130.0,2.0,3.0,0.0,1.0,0.4,0.6,0.3,1.0,2.0,0.4,353.0,67.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Gravy, unspecified, dehydrated, prepared with water",60mL,66.0,22.0,91.0,1.0,4.0,0.0,1.0,0.2,0.2,0.1,0.0,11.0,0.1,362.0,16.0,3.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Sauce, barbecue",15mL,16.0,12.0,50.0,0.0,2.0,4.0,0.0,0.0,0.1,0.1,0.0,3.0,0.1,129.0,28.0,3.0,3.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"Sauce, cheese, dehydrated, prepared with 2% milk",60mL,71.0,81.0,337.0,5.0,7.0,6.0,4.0,2.1,1.3,0.4,11.0,163.0,0.1,445.0,158.0,12.0,127.0,45.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Sauce, cranberry, canned, sweetened",60mL,70.0,106.0,443.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,20.0,18.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Sauce, nacho cheese, ready-to-serve",60mL,64.0,121.0,505.0,5.0,3.0,0.0,10.0,4.3,3.1,2.1,20.0,120.0,0.2,499.0,20.0,6.0,107.0,66.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Sauce, soy",15mL,18.0,7.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,1038.0,28.0,1.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Sauce, steak (HPTM, A1TM)",15mL,15.0,9.0,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,218.0,60.0,2.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Sauce, sweet and sour",15mL,17.0,20.0,85.0,0.0,4.0,3.0,0.0,0.1,0.1,0.2,0.0,3.0,0.1,59.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Sauce, teriyaki",15mL,18.0,15.0,64.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3,700.0,41.0,11.0,28.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Sauce, white, medium, homemade with 2% milk",60mL,61.0,89.0,374.0,2.0,6.0,3.0,6.0,1.7,2.7,1.7,4.0,72.0,0.2,215.0,95.0,9.0,60.0,55.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Anchovies, canned in oil, drained solids",2,8.0,17.0,70.0,2.0,0.0,0.0,1.0,0.2,0.0,0.2,7.0,19.0,0.4,293.0,44.0,0.0,20.0,1.0,0.0,0.0,0.1,0.06,0.1,0.07,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Arctic char, boiled",75g,75.0,119.0,496.0,20.0,0.0,0.0,4.0,0.7,0.0,0.9,0.0,23.0,0.4,38.0,0.0,0.0,188.0,68.0,0.0,0.0,0.3,0.38,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"Bass, mixed species, baked or broiled",75g,75.0,110.0,458.0,18.0,0.0,0.0,4.0,0.8,0.0,1.0,65.0,77.0,1.4,68.0,342.0,0.0,192.0,26.0,0.0,0.0,0.34,0.23,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Burbot (loche), raw",90g,90.0,71.0,297.0,16.0,0.0,0.0,1.0,0.1,0.0,0.3,54.0,22.0,0.3,63.0,288.0,0.0,171.0,5.0,0.0,0.0,0.09,0.06,0.5,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Catfish, channel, farmed, baked or broiled",75g,75.0,114.0,477.0,14.0,0.0,0.0,6.0,1.3,0.0,1.0,48.0,7.0,0.6,60.0,241.0,0.0,184.0,11.0,0.0,0.0,0.1,0.04,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Cisco (lake herring, tullibee), baked or broiled",75g,75.0,98.0,408.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,38.0,0.5,38.0,312.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"Cisco (lake herring, tullibee), raw",90g,90.0,88.0,369.0,17.0,0.0,0.0,2.0,1.1,0.0,1.2,45.0,10.0,0.4,50.0,319.0,0.0,137.0,27.0,0.0,0.0,0.46,0.11,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Cod, Atlantic, baked or broiled",75g,75.0,79.0,329.0,17.0,0.0,0.0,1.0,0.1,0.0,0.2,41.0,11.0,0.4,59.0,183.0,0.0,104.0,11.0,0.0,0.0,0.12,0.0,0.5,0.79,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Cod, Atlantic, dried and salted, soaked in water",75g,75.0,62.0,259.0,13.0,0.0,0.0,1.0,0.1,0.0,0.2,32.0,35.0,0.5,1353.0,265.0,0.0,183.0,9.0,0.0,0.0,0.09,0.0,0.5,1.82,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Gefiltefish,75g,75.0,63.0,263.0,7.0,6.0,0.0,1.0,0.3,0.0,0.2,23.0,17.0,1.9,393.0,68.0,0.0,55.0,20.0,0.0,0.0,0.03,0.06,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Grayling, baked or broiled",75g,75.0,80.0,332.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Haddock, baked or broiled",75g,75.0,84.0,351.0,18.0,0.0,0.0,1.0,0.1,0.0,0.2,56.0,32.0,1.0,65.0,299.0,0.0,181.0,14.0,0.0,0.0,0.12,0.06,0.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"Halibut, Atlantic and Pacific, baked or broiled",75g,75.0,105.0,439.0,20.0,0.0,0.0,2.0,0.3,0.0,0.7,31.0,45.0,0.8,52.0,432.0,0.0,214.0,41.0,0.0,0.0,0.28,0.07,3.6,1.03,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Herring, Atlantic, kippered",75g,75.0,163.0,680.0,18.0,0.0,0.0,9.0,2.1,0.0,2.2,62.0,63.0,1.1,689.0,335.0,0.0,244.0,30.0,0.0,0.0,0.88,0.73,1.6,14.03,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Mackerel, Atlantic, baked or broiled",75g,75.0,197.0,822.0,18.0,0.0,0.0,13.0,3.1,0.0,3.2,56.0,11.0,1.2,62.0,301.0,0.0,209.0,41.0,0.0,0.0,0.52,0.38,2.0,14.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Ocean Perch, Atlantic, baked or broiled",75g,75.0,91.0,380.0,18.0,0.0,0.0,2.0,0.2,0.0,0.4,41.0,103.0,0.9,72.0,263.0,0.0,208.0,11.0,0.0,0.0,0.2,0.08,0.0,0.86,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"Pickerel (Walleye), baked or broiled",75g,75.0,89.0,374.0,18.0,0.0,0.0,1.0,0.2,0.0,0.4,83.0,106.0,1.3,49.0,374.0,0.0,202.0,18.0,0.0,0.0,0.22,0.08,3.5,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Pike, northern, baked or broiled",75g,75.0,71.0,298.0,16.0,0.0,0.0,1.0,0.2,0.0,0.2,38.0,33.0,0.3,23.0,323.0,0.0,180.0,1.0,0.0,0.0,0.08,0.08,2.4,1.73,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"Pollock, Atlantic, baked or broiled",75g,75.0,89.0,370.0,19.0,0.0,0.0,1.0,0.1,0.0,0.5,68.0,58.0,0.4,83.0,342.0,0.0,212.0,9.0,0.0,0.0,0.34,0.07,1.4,2.76,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"Salmon, Atlantic, farmed, baked or broiled",75g,75.0,155.0,646.0,17.0,0.0,0.0,9.0,1.9,0.0,3.3,47.0,11.0,0.3,46.0,288.0,0.0,189.0,11.0,0.0,0.0,1.09,0.52,5.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"Salmon, chum (keta), baked or broiled",75g,75.0,116.0,483.0,19.0,0.0,0.0,4.0,0.8,0.0,0.9,71.0,11.0,0.5,48.0,413.0,0.0,272.0,26.0,0.0,0.0,0.38,0.22,14.0,2.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"Salmon, chum (keta), canned, drained solids with bone, salted",75g,75.0,106.0,443.0,16.0,0.0,0.0,4.0,1.1,0.0,1.1,29.0,187.0,0.5,365.0,225.0,0.0,266.0,14.0,0.0,0.0,0.53,0.35,5.0,3.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"Salmon, chum (keta), canned, drained solids with bone, unsalted",75g,75.0,106.0,443.0,16.0,0.0,0.0,4.0,1.1,0.0,1.1,29.0,187.0,0.5,56.0,225.0,0.0,266.0,14.0,0.0,0.0,0.53,0.35,4.2,3.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Salmon, coho, farmed, baked or broiled",75g,75.0,134.0,558.0,18.0,0.0,0.0,6.0,1.5,0.0,1.5,47.0,9.0,0.3,39.0,345.0,0.0,249.0,44.0,0.0,0.0,0.65,0.31,0.0,2.38,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"Salmon, eggs, raw",90g,90.0,116.0,485.0,24.0,0.0,0.0,9.0,2.1,0.0,2.3,0.0,11.0,0.6,45.0,369.0,0.0,198.0,0.0,0.0,0.0,1.17,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"Salmon, king or chinook, smoked, canned",75g,75.0,113.0,470.0,17.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0,1.4,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"Salmon, pink, canned, drained solids with bone",75g,75.0,102.0,427.0,17.0,0.0,0.0,4.0,0.6,0.0,1.1,62.0,208.0,0.7,299.0,233.0,0.0,274.0,17.0,0.0,0.0,0.52,0.27,0.0,3.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"Salmon, smoked",2 pieces,40.0,47.0,196.0,7.0,0.0,0.0,2.0,0.4,0.0,0.4,9.0,4.0,0.3,314.0,70.0,0.0,66.0,10.0,0.0,0.0,0.11,0.07,4.2,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"Salmon, smoked, lox",2 pieces,40.0,47.0,196.0,7.0,0.0,0.0,2.0,0.4,0.0,0.4,9.0,4.0,0.3,800.0,70.0,0.0,66.0,10.0,0.0,0.0,0.11,0.07,4.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"Salmon, sockeye, baked or broiled",75g,75.0,162.0,677.0,20.0,0.0,0.0,8.0,1.4,0.0,1.8,65.0,5.0,0.4,50.0,281.0,0.0,207.0,47.0,0.0,0.0,0.53,0.4,17.0,4.35,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"Sardines, Atlantic, canned in oil, drained solids with bones",1 can,106.0,220.0,922.0,26.0,0.0,0.0,12.0,1.6,0.0,5.5,151.0,405.0,3.1,535.0,421.0,0.0,519.0,34.0,0.0,0.0,0.54,0.5,2.5,9.48,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"Sardines, Pacific, canned in tomato sauce, drained with bones",1 can,106.0,197.0,825.0,22.0,1.0,0.0,11.0,2.8,0.0,2.2,65.0,254.0,2.4,439.0,361.0,0.0,388.0,36.0,0.0,0.0,0.92,0.56,12.7,9.54,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Smelt, breaded and fried",5,80.0,201.0,840.0,17.0,10.0,0.0,10.0,2.5,0.0,2.7,79.0,31.0,1.0,0.0,332.0,0.0,246.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"Snapper, mixed species, baked or broiled",75g,75.0,96.0,401.0,20.0,0.0,0.0,1.0,0.3,0.0,0.4,35.0,30.0,0.2,43.0,392.0,0.0,151.0,26.0,0.0,0.0,0.2,0.04,2.2,2.63,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Sole (flatfish), baked or broiled",75g,75.0,88.0,367.0,18.0,0.0,0.0,1.0,0.3,0.0,0.5,51.0,14.0,0.3,79.0,258.0,0.0,217.0,10.0,0.0,0.0,0.19,0.18,1.1,1.88,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"Trout, rainbow, farmed, baked or broiled",75g,75.0,127.0,530.0,18.0,0.0,0.0,5.0,1.6,0.0,1.7,51.0,65.0,0.2,32.0,331.0,0.0,200.0,65.0,0.0,0.0,0.62,0.25,4.8,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"Tuna, light, canned in water, drained, salted",75g,75.0,87.0,364.0,19.0,0.0,0.0,1.0,0.2,0.0,0.3,23.0,8.0,1.1,254.0,178.0,0.0,122.0,13.0,0.0,0.0,0.17,0.04,0.9,2.24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"Tuna, light, canned with oil, drained, salted",75g,75.0,149.0,621.0,22.0,0.0,0.0,6.0,1.2,0.0,2.2,14.0,10.0,1.0,266.0,155.0,0.0,233.0,17.0,0.0,0.0,0.08,0.02,0.7,1.65,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"Turbot, baked or broiled",75g,75.0,92.0,383.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,47.0,17.0,0.3,144.0,229.0,0.0,124.0,9.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,"Whitefish, lake, native, baked",75g,75.0,100.0,417.0,17.0,0.0,0.0,3.0,0.9,0.0,2.1,58.0,12.0,0.3,33.0,294.0,0.0,168.0,8.0,0.0,0.0,0.9,0.3,11.3,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"Clams, mixed species, boiled or steamed",5 large,60.0,89.0,371.0,15.0,3.0,0.0,1.0,0.1,0.0,0.3,40.0,55.0,16.8,67.0,377.0,0.0,203.0,103.0,0.0,0.0,0.09,0.08,0.1,59.33,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"Clams, mixed species, canned, drained solids",125mL,85.0,125.0,523.0,22.0,4.0,0.0,2.0,0.2,0.0,0.5,57.0,78.0,23.6,95.0,531.0,0.0,286.0,153.0,0.0,0.0,0.12,0.12,0.1,83.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"Crab, canned, drained",125mL,71.0,71.0,295.0,15.0,0.0,0.0,1.0,0.2,0.0,0.3,63.0,72.0,0.6,238.0,267.0,0.0,185.0,1.0,0.0,0.0,0.12,0.14,0.0,0.33,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
