Food name,Measure,Weight ,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
"Mayonnaise, light",15mL,16,51.0,215.0,tr,1,1,5,0.8,1.3,2.8,6,1,0.1,107,6.0,tr,6,3,0.0,,0.00,0.00,,0.00,0.5,tr,0,1,tr,0.00,tr,15,0.0,0.0,0.0,,,,,,,
"Non creamy dressing, fat-free",15mL,15,7.0,29.0,tr,1,1,tr,tr,tr,tr,tr,4,0.1,165,15.0,1,16,tr,1.0,,0.00,0.00,0,0.05,0.1,,tr,2,tr,0.01,tr,6,0.0,0.0,0.1,,,,,,,
Oil and vinegar,15mL,16,73.0,305.0,0,tr,tr,8,1.5,2.4,3.9,0,0,0,tr,1.0,0,0,0,0.0,,0.00,0.00,0,0.00,0.8,,0,0,0.0,0.00,0.0,0,0.0,0.0,0.0,,,,,,,
Ranch,15mL,15,71.0,297.0,tr,1,tr,8,1.2,1.7,4.2,5,5,0.1,120,9.0,1,24,1,0.0,,0.00,0.00,tr,0.05,0.7,0,tr,1,tr,0.01,tr,tr,0.0,0.0,0.1,,,,,,,
"Ranch, low fat",15mL,16,36.0,149.0,tr,3,1,3,0.2,0.9,0.7,3,20,0.1,151,21.0,1,31,3,0.0,,0.00,0.00,tr,0.00,0.3,0,tr,1,tr,tr,tr,1,0.0,0.0,0.1,,,,,,,
"Salad dressing, mayonnaise type",15mL,15,58.0,243.0,tr,4,1,5,0.7,1.3,2.7,4,2,tr,106,1.0,tr,4,3,0.0,,0.00,0.00,tr,0.03,0.3,0.4,0,1,tr,tr,tr,14,0.0,0.0,0.0,,,,,,,
"Salad dressing, mayonnaise type, fat-free",15mL,16,14.0,57.0,tr,3,2,tr,0.1,0.3,tr,1,1,tr,128,8.0,tr,1,0,0.0,,0.00,0.00,,0.00,tr,,0,0,0.0,tr,tr,0,0.0,0.0,0.3,,,,,,,
"Salad dressing, mayonnaise type, light",15mL,15,44.0,184.0,0,2,,4,0.2,2.2,1.1,0,tr,0,117,0.0,0,,3,,,0.00,0.00,,0.00,tr,,0,,0.0,0.00,0.0,,0.0,0.0,0.0,,,,,,,
Thousand Island,15mL,16,59.0,245.0,tr,2,2,6,0.8,1.2,2.9,4,3,0.2,137,17.0,1,4,2,412.0,,0.00,0.00,,0.00,0.6,,0,0,0.2,0.01,0.1,15,0.0,0.0,0.1,,,,,,,
"Thousand Island, low Calorie",15mL,16,32.0,132.0,tr,3,3,2,0.1,1.0,0.4,tr,2,0.1,129,31.0,1,2,2,481.0,,0.00,0.00,,0.00,0.2,,0,0,tr,0.01,0.1,24,0.0,0.0,0.2,,,,,,,
Chickpea flour,125mL,49,188.0,786.0,11,28,5,3,0.3,,,0,22,2.4,31,411.0,81.0,155.0,,,212.0,,,,,,,,,0.2,0.05,2.9,,,,,5.2,,,,,,
"Cornmeal, dry",125mL,73,267.0,1116.0,6,57,1,1,0.2,,,0,4,0.8,2,118.0,29.0,61.0,,,35.0,,,,,,,,,0.1,0.04,1.9,,,,,5.4,,,,,,
"Oat bran, dry",125mL,50,122.0,511.0,9,33,1,3,0.7,,,0,29,2.7,2,281.0,117.0,365.0,,,26.0,,,,,,,,,0.6,0.11,3.2,,,,,5.2,,,,,,
"Oat flakes, dry",125mL,53,200.0,838.0,7,35,1,4,0.7,,,0,27,2.2,2,199.0,78.0,226.0,,,15.0,,,,,,,,,0.3,0.08,1.8,,,,,5.3,,,,,,
Potato flour,125mL,85,302.0,1262.0,6,70,3,tr,0.1,,,0,55,1.2,46,846.0,55.0,142.0,,,21.0,,,,,,,,,0.2,0.04,4.6,,,,,0.1,,,,,,
Rice flour,125mL,83,305.0,1278.0,5,67,tr,1,0.3,,,0,8,0.3,0,63.0,29.0,82.0,,,3.0,,,,,,,,,0.1,0.02,3.2,,,,,2.0,,,,,,
"Rye flour, light",125mL,54,198.0,827.0,5,43,1,1,0.1,,,0,11,1.0,1,126.0,38.0,105.0,,,12.0,,,,,,,,,0.2,0.05,1.3,,,,,7.9,,,,,,
Soy flour,125mL,53,174.0,729.0,25,20,11,1,0.1,,,0,127,4.9,11,1259.0,153.0,356.0,,,161.0,,,,,,,,,0.4,0.13,7.4,,,,,9.2,,,,,,
Wheat bran,15mL,4,8.0,33.0,1,2,tr,tr,tr,,,0,3,0.4,tr,43.0,22.0,37.0,,,3.0,,,,,,,,,tr,0.02,0.7,,,,,1.6,,,,,,
"Wheat flour, all purpose",125mL,66,240.0,1005.0,7,50,tr,1,0.1,,,0,10,3.1,1,71.0,15.0,71.0,,,192.0,,,,,,,,,0.5,0.33,5.3,,,,,2.0,,,,,,
"Wheat flour, bread",125mL,72,261.0,1093.0,9,52,tr,1,0.2,,,0,11,3.2,1,72.0,18.0,70.0,,,208.0,,,,,,,,,0.6,0.37,7.1,,,,,1.7,,,,,,
"Wheat flour, cake",125mL,72,262.0,1096.0,6,56,tr,1,0.1,,,0,10,5.3,1,76.0,12.0,62.0,,,204.0,,,,,,,,,0.6,0.31,6.3,,,,,1.2,,,,,,
"Wheat flour, whole grain",125mL,63,215.0,899.0,9,46,tr,1,0.2,,,0,22,2.5,3,257.0,87.0,219.0,,,28.0,,,,,,,,,0.3,0.14,6.3,,,,,7.7,,,,,,
"Wheat germ, toasted",15mL,7,27.0,114.0,2,4,1,1,0.1,,,0,3,0.7,tr,68.0,23.0,82.0,,,25.0,,,,,,,,,0.1,0.06,0.9,,,,,1.1,,,,,,
"Bagel, plain (10cm diam)",1,71,195.0,817.0,7,38,4,1,0.2,,,0,53,2.5,379,72.0,21.0,68.0,,,117.0,,,,,,,,,0.4,0.22,4.7,,,,,1.6,,,,,,
Bannock,1 medium,37,84.0,353.0,2,19,,tr,0,,,1,84,0.7,,,,60.0,,,,,,,,,,,,0.1,0.06,1.4,,,,,0.5,,,,,,
"Bread, French or Vienna",1 slice,35,96.0,401.0,3,18,tr,1,0.2,,,0,26,0.9,213,40.0,9.0,37.0,,,80.0,,,,,,,,,0.2,0.12,2.3,,,,,1.1,,,,,,
"Bread, Italian",1 slice,35,95.0,397.0,3,18,tr,1,0.3,,,0,27,1.0,204,39.0,9.0,36.0,,,106.0,,,,,,,,,0.2,0.1,2.1,,,,,0.9,,,,,,
"Bread, mixed-grain",1 slice,35,88.0,366.0,4,16,4,1,0.3,,,0,32,1.2,170,71.0,19.0,62.0,,,58.0,,,,,,,,,0.1,0.12,2.3,,,,,2.2,,,,,,
"Bread, naan",  1/2 ,63,192.0,803.0,7,36,2,2,0.8,,,3,78,2.3,208,115.0,16.0,89.0,,,115.0,,,,,,,,,0.3,0.33,5.6,,,,,1.4,,,,,,
"Bread, oatmeal",1 slice,35,94.0,394.0,3,17,3,2,0.2,,,0,23,0.9,210,50.0,13.0,44.0,,,30.0,,,,,,,,,0.1,0.08,1.8,,,,,1.4,,,,,,
"Bread, pita, white (17cm diam)",1,60,165.0,690.0,5,33,1,1,0.1,,,0,52,1.6,322,72.0,16.0,58.0,,,99.0,,,,,,,,,0.4,0.2,3.8,,,,,1.3,,,,,,
"Bread, pita, whole wheat (17cm diam)",1,64,170.0,712.0,6,35,1,2,0.3,,,0,10,2.0,340,109.0,44.0,115.0,,,22.0,,,,,,,,,0.2,0.05,3.4,,,,,4.7,,,,,,
"Bread, pumpernickel",1 slice,35,88.0,366.0,3,17,tr,1,0.2,,,0,24,1.0,235,73.0,19.0,62.0,,,47.0,,,,,,,,,0.1,0.11,1.6,,,,,2.3,,,,,,
"Bread, raisin",1 slice,35,96.0,401.0,3,18,2,2,0.4,,,0,23,1.0,137,79.0,9.0,38.0,,,55.0,,,,,,,,,0.1,0.14,1.7,,,,,1.5,,,,,,
"Bread, rye",1 slice,35,91.0,379.0,3,17,1,1,0.2,,,0,26,1.0,231,58.0,14.0,44.0,,,53.0,,,,,,,,,0.2,0.12,1.9,,,,,2.0,,,,,,
"Bread, white, calorie-reduced",1 slice,35,72.0,303.0,3,16,2,1,0.2,,,0,33,1.1,159,27.0,8.0,42.0,,,48.0,,,,,,,,,0.1,0.1,1.9,,,,,3.4,,,,,,
"Bread, white, commercial",1 slice,35,93.0,389.0,3,18,2,1,0.3,,,0,53,1.3,238,35.0,8.0,35.0,,,60.0,,,,,,,,,0.2,0.12,2.1,,,,,0.8,,,,,,
"Bread, white, homemade with 2% milk",1 slice,35,100.0,417.0,3,17,,2,0.4,,,1,20,1.0,126,51.0,7.0,40.0,,,44.0,,,,,,,,,0.1,0.13,1.8,,,,,0.7,,,,,,
"Bread, whole wheat, commercial",1 slice,35,86.0,360.0,3,16,7,1,0.3,,,0,25,1.2,184,88.0,30.0,80.0,,,18.0,,,,,,,,,0.1,0.07,2.2,,,,,2.4,,,,,,
"Bread, whole wheat, homemade with 2% milk",1 slice,35,97.0,407.0,3,18,1,2,0.3,,,0,12,1.1,121,110.0,28.0,65.0,,,27.0,,,,,,,,,0.1,0.08,2.1,,,,,2.1,,,,,,
Dumpling,1 dumpling,35,69.0,289.0,1,8,tr,4,1,,,1,23,0.4,138,23.0,3.0,22.0,,,19.0,,,,,,,,,0.1,0.06,0.8,,,,,0.3,,,,,,
"English muffin, white, toasted",1,52,133.0,554.0,4,26,2,1,0.1,,,0,98,1.4,262,74.0,11.0,75.0,,,65.0,,,,,,,,,0.2,0.14,2.8,,,,,1.5,,,,,,
"English muffin, whole wheat, toasted",1,52,126.0,528.0,5,25,1,1,0.2,,,0,100,1.6,216,105.0,22.0,65.0,,,41.0,,,,,,,,,0.2,0.15,2.8,,,,,2.6,,,,,,
"Fry bread, Navajo",1,37,122.0,511.0,2,18,1,5,1.7,,,3,21,1.5,122,28.0,7.0,46.0,,,73.0,,,,,,,,,0.2,0.08,2.2,,,,,1.0,,,,,,
"Roll, crusty (kaiser)",1,57,167.0,698.0,6,30,1,2,0.3,,,0,54,1.9,310,62.0,15.0,57.0,,,86.0,,,,,,,,,0.3,0.19,3.5,,,,,1.3,,,,,,
"Roll, dinner, white",1,28,85.0,356.0,2,14,2,2,0.5,,,tr,34,0.9,148,38.0,7.0,33.0,,,41.0,,,,,,,,,0.1,0.09,1.6,,,,,0.9,,,,,,
"Roll, dinner, whole wheat",1,28,75.0,315.0,2,14,2,1,0.2,,,0,30,0.7,136,77.0,24.0,64.0,,,9.0,,,,,,,,,0.1,0.04,1.7,,,,,2.1,,,,,,
"Roll, hamburger or hotdog, white",1,43,120.0,502.0,4,21,3,2,0.5,,,0,59,1.4,206,40.0,9.0,27.0,,,73.0,,,,,,,,,0.2,0.14,2.5,,,,,0.9,,,,,,
"Roll, hamburger or hotdog, whole-wheat",1,43,113.0,473.0,4,19,3,3,0.6,,,0,41,1.7,197,69.0,19.0,52.0,,,74.0,,,,,,,,,0.2,0.13,2.8,,,,,1.6,,,,,,
"Bread stick, plain (19cm X 2cm)",1,10,41.0,172.0,1,7,tr,1,0.1,,,0,2,0.4,66,12.0,3.0,12.0,,,25.0,,,,,,,,,0.1,0.06,0.8,,,,,0.3,,,,,,
"Bread stuffing, dry mix, prepared",125mL,106,188.0,786.0,3,23,2,9,1.8,,,0,34,1.2,574,78.0,13.0,44.0,,,56.0,,,,,,,,,0.1,0.11,2.3,,,,,3.1,,,,,,
"Croutons, plain",60mL,8,31.0,129.0,1,6,,1,0.1,,,0,6,0.3,53,9.0,2.0,9.0,,,16.0,,,,,,,,,tr,0.02,0.6,,,,,0.4,,,,,,
"Matzo, plain",1,28,112.0,468.0,3,24,tr,tr,0.1,,,0,4,0.9,1,32.0,7.0,25.0,,,5.0,,,,,,,,,0.1,0.08,1.7,,,,,0.9,,,,,,
"Taco shell, baked (13cm diam)",1 shell,13,61.0,254.0,1,8,tr,3,0.4,,,0,21,0.3,48,23.0,14.0,32.0,,,28.0,,,,,,,,,tr,0.01,0.3,,,,,1.0,,,,,,
"Tortilla, corn (15cm diam)",1,19,41.0,173.0,1,8,tr,1,0.1,,,0,15,0.2,9,35.0,14.0,60.0,,,1.0,,,,,,,,,tr,0.01,0.4,,,,,1.2,,,,,,
"Tortilla, wheat (20cm diam)",1,49,159.0,666.0,4,27,,3,0.9,,,0,19,1.6,234,64.0,13.0,61.0,,,98.0,,,,,,,,,0.3,0.14,2.6,,,,,1.6,,,,,,
"French toast, frozen, ready to heat, heated",1 slice,59,126.0,526.0,4,19,,4,0.9,,,48,63,1.3,292,79.0,10.0,82.0,,,42.0,,,,,,,,,0.2,0.22,2.5,,,,,0.6,,,,,,
"French toast, homemade",1 slice,65,149.0,623.0,5,16,,7,1.8,,,75,65,1.1,311,87.0,11.0,76.0,,,37.0,,,,,,,,,0.1,0.21,2.1,,,,,0.7,,,,,,
"Pancake, buckwheat, prepared from mix (13cm diam)",1,40,73.0,305.0,3,10,2,3,0.6,,,20,89,0.7,191,80.0,27.0,143.0,,,9.0,,,,,,,,,0.1,0.09,1.2,,,,,1.1,,,,,,
"Pancake, homemade with butter and syrup (13cm diam)",1,50,112.0,468.0,3,20,2,3,1,,,11,85,0.5,211,78.0,9.0,118.0,,,23.0,,,,,,,,,0.1,0.11,1.1,,,,,0.8,,,,,,
"Pancake, plain, from complete mix (13cm diam)",1,40,64.0,266.0,1,11,0,2,0.2,,,3,36,0.4,180,50.0,6.0,96.0,,,15.0,,,,,,,,,0.1,0.06,0.8,,,,,0.4,,,,,,
"Pancake, plain, frozen, ready-to-heat (13cm diam), heated",1,41,94.0,393.0,2,18,4,1,0.3,,,4,25,1.4,209,30.0,6.0,153.0,,,27.0,,,,,,,,,0.2,0.19,2.1,,,,,0.7,,,,,,
"Pancake, plain, homemade (13cm diam)",1,38,86.0,361.0,2,11,,4,0.8,,,22,83,0.7,167,50.0,6.0,60.0,,,21.0,,,,,,,,,0.1,0.11,1.1,,,,,0.5,,,,,,
"Potato pancake, homemade (8cm diam)",1,37,112.0,467.0,2,13,1,6,0.6,,,23,12,0.7,191,277.0,16.0,46.0,,,15.0,,,,,,,,,0.1,0.06,1.4,,,,,1.0,,,,,,
"Waffle, homemade",1,37,103.0,432.0,3,14,2,4,0.7,,,33,44,0.9,146,58.0,7.0,53.0,,,37.0,,,,,,,,,0.1,0.15,1.7,,,,,0.5,,,,,,
"Waffle, plain, frozen, ready to heat, heated",1,33,87.0,364.0,2,13,2,3,0.5,,,8,77,1.5,260,42.0,7.0,139.0,,,22.0,,,,,,,,,0.1,0.16,1.9,,,,,0.8,,,,,,
"Barley, pearled, cooked",125mL,83,102.0,426.0,2,23,tr,tr,0.1,,,0,9,1.1,2,77.0,18.0,45.0,,,13.0,,,,,,,,,0.1,0.05,2.2,,,,,2.0,,,,,,
"Bulgur, cooked",125mL,96,80.0,334.0,3,18,tr,tr,tr,,,0,10,0.9,5,65.0,31.0,38.0,,,17.0,,,,,,,,,0.1,0.03,1.7,,,,,2.7,,,,,,
"Couscous,cooked",125mL,83,93.0,388.0,3,19,tr,tr,tr,,,0,7,0.3,4,48.0,7.0,18.0,,,12.0,,,,,,,,,0.1,0.02,1.5,,,,,0.7,,,,,,
"Macaroni, cooked",250mL,148,209.0,873.0,7,42,1,1,0.1,,,0,10,2.1,1,46.0,27.0,80.0,,,184.0,,,,,,,,,0.3,0.14,4.0,,,,,1.8,,,,,,
"Noodles, Chinese, chow mein",250mL,48,251.0,1048.0,4,27,tr,15,2.1,,,0,10,2.2,209,57.0,25.0,77.0,,,65.0,,,,,,,,,0.3,0.2,3.7,,,,,1.9,,,,,,
"Noodles, egg, cooked",250mL,169,225.0,940.0,8,42,1,2,0.5,,,56,20,2.7,12,47.0,32.0,117.0,,,176.0,,,,,,,,,0.3,0.14,4.3,,,,,1.9,,,,,,
"Pasta, fresh-refrigerated, cooked",250mL,169,220.0,920.0,9,40,,3,0.7,,,69,17,2.0,140,36.0,24.0,88.0,,,101.0,,,,,,,,,0.3,0.29,4.0,,,,,3.7,,,,,,
"Pasta, fresh-refrigerated, spinach, cooked",250mL,169,223.0,933.0,9,41,1,3,0.6,,,56,32,1.8,20,63.0,41.0,96.0,,,159.0,,,,,,,,,0.4,0.21,4.4,,,,,2.2,,,,,,
"Quinoa, cooked",125mL,73,70.0,293.0,2,13,,1,0.1,,,0,11,1.7,4,138.0,39.0,77.0,,,9.0,,,,,,,,,tr,0.07,1.0,,,,,1.3,,,,,,
"Ramen noodles, chicken flavour, dry",1 package,85,371.0,1554.0,9,54,1,13,6,,,,23,3.3,1760,147.0,19.0,100.0,,,150.0,,,,,,,,,0.5,0.21,3.8,,,,,2.0,,,,,,
"Rice noodles, cooked",250mL,186,203.0,848.0,2,46,,tr,tr,,,0,7,0.3,35,7.0,6.0,37.0,,,6.0,,,,,,,,,tr,0.01,0.5,,,,,1.9,,,,,,
"Rice, brown, long-grain, cooked",125mL,103,115.0,479.0,3,24,tr,1,0.2,,,0,10,0.4,5,44.0,44.0,86.0,,,4.0,,,,,,,,,0.1,0.03,2.1,,,,,1.5,,,,,,
"Rice, white, long-grain, cooked",125mL,83,109.0,454.0,2,24,tr,tr,0.1,,,0,8,0.2,1,29.0,10.0,36.0,,,3.0,,,,,,,,,tr,0.01,0.8,,,,,0.4,,,,,,
"Rice, white, long-grain, instant, prepared",125mL,87,85.0,357.0,2,19,0,tr,tr,,,0,7,0.2,3,3.0,4.0,12.0,,,7.0,,,,,,,,,tr,0.04,0.9,,,,,0.5,,,,,,
"Rice, white, long-grain, parboiled,cooked",125mL,92,105.0,441.0,2,23,tr,tr,0.1,,,0,18,0.2,3,34.0,11.0,39.0,,,4.0,,,,,,,,,tr,0.02,1.7,,,,,0.4,,,,,,
"Rice, wild, cooked",125mL,87,88.0,366.0,3,18,1,tr,tr,,,0,3,0.5,3,88.0,28.0,71.0,,,23.0,,,,,,,,,tr,0.08,1.8,,,,,1.6,,,,,,
"Soba noodles, cooked",250mL,120,119.0,499.0,6,26,,tr,tr,,,0,5,0.6,72,42.0,11.0,30.0,,,8.0,,,,,,,,,0.1,0.03,2.1,,,,,,,,,,,
"Spaghetti, cooked",250mL,148,209.0,873.0,7,42,1,1,0.1,,,0,10,2.1,1,46.0,27.0,80.0,,,184.0,,,,,,,,,0.3,0.14,4.0,,,,,2.5,,,,,,
"Spaghetti, whole-wheat, cooked",250mL,148,183.0,768.0,8,39,1,1,0.1,,,0,22,1.6,4,65.0,44.0,132.0,,,7.0,,,,,,,,,0.2,0.07,2.7,,,,,4.8,,,,,,
"All Bran Buds with psyllium, Kellogg'sTM",75mL,27,70.0,292.0,2,22,7,1,,,,0,17,3.5,181,242.0,74.0,242.0,,,38.0,,,,,,,,,0.5,0.09,2.5,,,,,11.3,,,,,,
"All Bran, Kellogg'sTM",125mL,35,92.0,384.0,4,27,6,1,,,,0,30,4.7,305,408.0,130.0,350.0,,,50.0,,,,,,,,,0.7,0.07,6.0,,,,,11.8,,,,,,
"Almond Raisin Muslix, Kellogg'sTM",175mL,44,173.0,722.0,4,34,13,3,,,,0,24,5.9,140,191.0,30.0,86.0,,,,,,,,,,,,0.9,0.07,2.1,,,,,3.0,,,,,,
"Alpha-Bits, PostTM",250mL,34,139.0,580.0,2,30,14,1,0.2,,,0,3,4.5,126,21.0,24.0,74.0,,,41.0,,,,,,,,,0.7,0,2.0,,,,,1.1,,,,,,
"Bran Flakes, PostTM",250mL,53,185.0,776.0,5,41,9,1,0.2,,,0,24,7.0,302,253.0,121.0,276.0,,,64.0,,,,,,,,,1.1,0.08,3.5,,,,,7.4,,,,,,
"Cap'n Crunch, QuakerTM",175mL,27,108.0,452.0,1,23,10,1,1.1,,,0,0,3.6,213,30.0,11.0,22.0,,,32.0,,,,,,,,,0.5,0,1.3,,,,,0.7,,,,,,
"Cheerios: Honey Nut, General MillsTM",250mL,35,134.0,561.0,3,28,12,1,,,,0,128,4.7,252,99.0,38.0,115.0,,,41.0,,,,,,,,,0,0.06,1.6,,,,,2.1,,,,,,
Cheerios: regular General MillsTM,250mL,24,95.0,396.0,3,18,1,2,,,,0,44,3.2,219,78.0,32.0,105.0,,,28.0,,,,,,,,,tr,0.04,1.1,,,,,2.2,,,,,,
"Cinnamon Toast Crunch, General MillsTM",175mL,28,123.0,514.0,1,22,9,3,,,,0,103,3.8,193,41.0,12.0,93.0,,,33.0,,,,,,,,,0,0.01,1.3,,,,,1.0,,,,,,
"Corn Bran, QuakerTM",250mL,38,124.0,520.0,3,30,8,2,0.8,,,0,0,5.0,349,91.0,,42.0,,,45.0,,,,,,,,,0.8,0.02,1.7,,,,,6.1,,,,,,
"Corn Flakes, Kellogg'sTM",250mL,26,103.0,430.0,2,23,2,tr,0,,,0,1,3.5,190,28.0,2.0,12.0,,,32.0,,,,,,,,,0.5,0.71,1.6,,,,,0.7,,,,,,
"Corn Pops, Kellogg'sTM",250mL,33,130.0,544.0,1,30,12,tr,0,,,0,2,4.4,192,26.0,3.0,13.0,,,40.0,,,,,,,,,0.7,0.01,1.8,,,,,0.4,,,,,,
"Cream of wheat, regular",175mL,186,46.0,195.0,2,9,tr,tr,0,,,0,2,1.6,tr,15.0,2.0,17.0,,,,,,,,,,,,tr,0.01,0.4,,,,,0.7,,,,,,
"Fibre 1, General MillsTM",125mL,30,79.0,329.0,3,24,0,1,0.1,,,0,110,4.1,130,239.0,68.0,188.0,,,36.0,,,,,,,,,0.1,0.06,1.4,,,,,14.1,,,,,,
"Froot Loops, Kellogg'sTM",250mL,30,116.0,485.0,1,26,14,1,,,,0,3,3.9,121,30.0,7.0,31.0,,,36.0,,,,,,,,,0.6,0.02,1.7,,,,,0.6,,,,,,
"Frosted Flakes, Kellogg'sTM",250mL,37,142.0,595.0,2,33,15,tr,0,,,0,1,4.9,196,28.0,2.0,9.0,,,45.0,,,,,,,,,0.7,0.67,2.1,,,,,0.6,,,,,,
"Fruit & Fibre, Dates/Raisins/Walnuts, PostTM",125mL,29,93.0,389.0,3,22,7,1,,,,0,16,3.9,134,145.0,55.0,126.0,,,35.0,,,,,,,,,0.6,0.05,1.9,,,,,4.3,,,,,,
"Granola with Raisins, low fat, Kellogg'sTM",125mL,59,226.0,944.0,5,46,17,3,,,,0,24,7.8,147,173.0,47.0,135.0,,,71.0,,,,,,,,,1.2,0.14,3.7,,,,,3.5,,,,,,
"Granola with Raisins, RogersTM",125mL,59,245.0,1023.0,5,41,,8,,,,0,28,1.9,95,198.0,,157.0,,,,,,,,,,,,0.4,0.06,1.8,,,,,5.3,,,,,,
"Grape-Nuts, PostTM",125mL,58,208.0,872.0,6,46,5,1,,,,0,24,2.0,348,253.0,59.0,241.0,,,68.0,,,,,,,,,0.2,0.09,4.5,,,,,6.0,,,,,,
"Harvest Crunch, regular, QuakerTM",125mL,47,218.0,911.0,5,31,12,9,6.7,,,1,51,1.1,45,226.0,,,,,14.0,,,,,,,,,0.1,0.07,1.5,,,,,3.3,,,,,,
"Honeycomb, PostTM",250mL,23,92.0,384.0,1,21,8,tr,,,,0,8,3.7,93,46.0,7.0,36.0,,,28.0,,,,,,,,,0.5,tr,1.4,,,,,0.2,,,,,,
"Just Right, Kellogg'sTM",250mL,45,172.0,720.0,4,38,10,1,,,,0,11,6.0,250,105.0,28.0,93.0,,,55.0,,,,,,,,,0.9,0.1,2.9,,,,,2.2,,,,,,
"Life, QuakerTM",175mL,33,124.0,518.0,5,23,7,2,0.3,,,0,24,4.3,195,188.0,10.0,160.0,,,19.0,,,,,,,,,0.6,0.03,1.5,,,,,2.9,,,,,,
"Lucky Charms, General MillsTM",250mL,34,132.0,550.0,2,28,15,1,,,,0,124,4.6,227,64.0,28.0,87.0,,,40.0,,,,,,,,,0,0.02,1.6,,,,,1.7,,,,,,
"Mini-Wheats with White Frosting, Kellogg'sTM",175mL,35,121.0,505.0,3,29,3,1,,,,0,14,4.7,4,135.0,31.0,102.0,,,42.0,,,,,,,,,0.7,0.02,2.3,,,,,3.6,,,,,,
"Muesli, President's ChoiceTM",75mL,40,144.0,603.0,5,28,10,2,,,,0,9,1.6,24,228.0,13.0,40.0,,,,,,,,,,,,0.1,0.1,1.4,,,,,3.5,,,,,,
"Nesquik, General MillsTM",250mL,30,120.0,502.0,1,27,14,1,,,,0,33,4.1,192,49.0,8.0,44.0,,,36.0,,,,,,,,,0,0,1.4,,,,,0.6,,,,,,
"Oat bran, cooked",175mL,179,73.0,306.0,3,12,tr,1,0.3,,,0,17,1.3,1,120.0,,127.0,,,9.0,,,,,,,,,0.2,0.06,0.9,,,,,3.4,,,,,,
"Oatmeal Crisp Almond, General MillsTM",125mL,32,131.0,546.0,3,23,8,3,,,,0,81,4.3,108,93.0,34.0,93.0,,,38.0,,,,,,,,,0.6,0.05,1.5,,,,,2.3,,,,,,
"Oatmeal Crisp Maple Walnut, General MillsTM",125mL,32,133.0,557.0,3,25,9,2,0.3,,,0,81,4.3,142,101.0,29.0,81.0,,,38.0,,,,,,,,,0.6,0.05,1.5,,,,,2.3,,,,,,
"Oatmeal, instant, apple-cinnamon",1 packet,186,141.0,592.0,3,29,12,2,0.3,,,0,21,5.0,256,108.0,36.0,88.0,,,50.0,,,,,,,,,0.8,0.03,1.4,,,,,2.8,,,,,,
"Oatmeal, instant, regular",1 packet,186,112.0,468.0,4,20,1,2,0.4,,,0,21,4.0,241,112.0,45.0,132.0,,,,,,,,,,,,0.6,0.04,1.5,,,,,2.7,,,,,,
"Oatmeal, large flakes/quick",175mL,173,99.0,412.0,4,17,tr,2,0.3,,,0,13,1.0,1,98.0,,111.0,,,8.0,,,,,,,,,0.2,0.04,0.9,,,,,2.6,,,,,,
"Puffed Wheat, QuakerTM",250mL,13,45.0,188.0,2,9,tr,tr,0.1,,,0,9,0.5,0,60.0,18.0,40.0,,,1.0,,,,,,,,,0.1,0.01,1.0,,,,,1.4,,,,,,
"Raisin Bran, Kellogg'sTM",250mL,59,187.0,782.0,5,47,17,1,,,,0,22,7.9,367,334.0,75.0,189.0,,,72.0,,,,,,,,,1.2,0.08,4.5,,,,,6.7,,,,,,
"Red River, Robin HoodTM",175mL,180,115.0,482.0,4,24,,1,0.1,,,tr,15,1.3,27,,18.0,63.0,,,19.0,,,,,,,,,0.1,0.02,1.4,,,,,4.0,,,,,,
"Reese's Puffs, General MillsTM",175mL,30,128.0,533.0,2,24,13,3,0.6,,,0,98,4.0,178,43.0,2.0,11.0,,,35.0,,,,,,,,,0,0,1.4,,,,,0.6,,,,,,
"Rice Krispies, Kellogg'sTM",250mL,29,110.0,458.0,2,24,3,tr,0,,,0,4,3.8,315,31.0,11.0,41.0,,,30.0,,,,,,,,,0.6,0.01,1.7,,,,,0.3,,,,,,
"Shredded Wheat, PostTM",1 biscuit,25,91.0,379.0,3,21,tr,1,0.1,,,0,9,1.5,1,92.0,31.0,83.0,,,11.0,,,,,,,,,0.1,0.06,2.3,,,,,3.5,,,,,,
"Shreddies, PostTM",175mL,38,138.0,579.0,4,32,6,1,,,,0,14,5.1,241,143.0,38.0,109.0,,,,,,,,,,,,0.8,0.01,2.5,,,,,4.4,,,,,,
"Special K, Kellogg'sTM",250mL,24,94.0,392.0,4,18,2,tr,,,,0,tr,3.2,226,34.0,13.0,49.0,,,29.0,,,,,,,,,0.5,0.03,1.9,,,,,0.3,,,,,,
"Sugar Crisp, PostTM",250mL,26,103.0,432.0,1,24,14,1,,,,0,3,0.3,33,1.0,11.0,44.0,,,32.0,,,,,,,,,0.5,tr,1.5,,,,,0.8,,,,,,
